,Word,Frequency
0,trump,68773
1,said,23639
2,people,20260
3,president,20056
4,one,18130
5,would,17540
6,donald,14642
7,obama,13823
8,like,13708
9,clinton,13396
10,even,10907
11,also,10849
12,new,10499
13,via,10481
14,hillary,10426
15,time,10199
16,white,10182
17,news,9958
18,usa,9764
19,state,9438
20,image,9141
21,video,8942
22,campaign,8695
23,right,8607
24,get,8358
25,house,8289
26,america,8072
27,american,8044
28,republican,7973
29,know,7954
30,twitter,7845
31,media,7737
32,featured,7705
33,going,7689
34,first,7659
35,could,7537
36,states,7362
37,year,7174
38,make,7155
39,many,7061
40,republicans,6841
41,country,6807
42,way,6714
43,election,6693
44,made,6593
45,say,6572
46,back,6509
47,think,6439
48,two,6385
49,years,6347
50,told,6324
51,well,6278
52,government,6165
53,police,6030
54,us,6005
55,party,5936
56,women,5869
57,watch,5860
58,black,5803
59,last,5777
60,united,5678
61,want,5632
62,according,5547
63,may,5420
64,world,5400
65,law,5378
66,much,5374
67,says,5352
68,see,5313
69,go,5312
70,man,5215
71,take,5166
72,former,5141
73,day,5075
74,political,5056
75,americans,5011
76,com,4975
77,national,4964
78,fact,4910
79,bill,4855
80,really,4827
81,never,4709
82,called,4634
83,public,4622
84,since,4612
85,another,4607
86,every,4595
87,vote,4569
88,show,4535
89,support,4385
90,still,4374
91,presidential,4281
92,gop,4264
93,russia,4258
94,fox,4197
95,good,4177
96,images,4176
97,office,4112
98,court,3980
99,administration,3974
