,Word,Frequency
0,said,97828
1,trump,48018
2,us,47148
3,would,31453
4,reuters,28785
5,president,27465
6,state,20430
7,government,18632
8,house,17763
9,new,17606
10,states,17574
11,republican,16714
12,also,15755
13,united,15404
14,people,15036
15,year,14240
16,told,14102
17,could,13751
18,one,13339
19,two,12796
20,election,12730
21,washington,12727
22,last,12689
23,party,11844
24,trumps,11599
25,former,10756
26,campaign,10661
27,north,10576
28,donald,10421
29,security,10322
30,white,10260
31,percent,9991
32,senate,9685
33,court,9673
34,minister,8988
35,first,8937
36,china,8846
37,tax,8675
38,officials,8580
39,clinton,8518
40,democratic,8492
41,foreign,8444
42,years,8338
43,law,8333
44,russia,8285
45,week,8283
46,country,8259
47,national,8256
48,since,8251
49,presidential,8250
50,military,8243
51,may,8213
52,including,8027
53,tuesday,7940
54,obama,7865
55,wednesday,7796
56,political,7788
57,statement,7574
58,korea,7569
59,administration,7548
60,thursday,7497
61,time,7455
62,vote,7424
63,bill,7344
64,support,7269
65,friday,7219
66,republicans,7098
67,monday,6936
68,group,6932
69,say,6843
70,congress,6750
71,called,6733
72,many,6689
73,million,6580
74,office,6551
75,federal,6467
76,made,6380
77,deal,6369
78,official,6357
79,police,6357
80,russian,6248
81,trade,6165
82,committee,6117
83,says,6095
84,according,6076
85,news,6065
86,leader,6031
87,iran,5929
88,policy,5909
89,saying,5905
90,department,5849
91,secretary,5735
92,three,5690
93,month,5617
94,nuclear,5583
95,eu,5572
96,next,5519
97,south,5515
98,democrats,5482
99,general,5471
